PLAYER,POS,TEAM,GAME,INN,K,HA,ER,BBI,RBI,R,H
Liam Hicks,C,MIA,MIA@TB,-,-,-,-,-,0.32,0.23,0.55
Logan Davidson,SS,ATH,BAL@ATH,-,-,-,-,-,0.26,0.28,0.52
Mauricio Dubon,2B,HOU,HOU@CLE,-,-,-,-,-,0.28,0.27,0.61
Eric Wagaman,1B,MIA,MIA@TB,-,-,-,-,-,0.24,0.3,0.64
Victor Caratini,1B,HOU,HOU@CLE,-,-,-,-,-,0.22,0.27,0.56
Gabriel Arias,2B,CLE,HOU@CLE,-,-,-,-,-,0.34,0.31,0.56
Nick Fortes,C,MIA,MIA@TB,-,-,-,-,-,0.27,0.25,0.54
Romy Gonzalez,2B,BOS,BOS@NYY,-,-,-,-,-,0.25,0.3,0.53
Marcelo Mayer,2B,BOS,BOS@NYY,-,-,-,-,-,0.26,0.3,0.53
Sam Hilliard,LF,COL,NYM@COL,-,-,-,-,-,0.28,0.29,0.5
Joey Ortiz,3B,MIL,SD@MIL,-,-,-,-,-,0.23,0.26,0.5
Luis Rengifo,2B,LAA,SEA@LAA,-,-,-,-,-,0.25,0.26,0.6
Nolan Jones,3B,CLE,HOU@CLE,-,-,-,-,-,0.31,0.23,0.5
Bo Naylor,C,CLE,HOU@CLE,-,-,-,-,-,0.26,0.29,0.4
Oswald Peraza,2B,NYY,BOS@NYY,-,-,-,-,-,0.25,0.31,0.41
Brendan Rodgers,2B,HOU,HOU@CLE,-,-,-,-,-,0.27,0.28,0.56
Jason Heyward,RF,SD,SD@MIL,-,-,-,-,-,0.2,0.21,0.52
Will Wilson,2B,CLE,HOU@CLE,-,-,-,-,-,0.22,0.25,0.46
Kyle Farmer,2B,COL,NYM@COL,-,-,-,-,-,0.31,0.19,0.47
Angel Martinez,OF,CLE,HOU@CLE,-,-,-,-,-,0.25,0.25,0.45
Curtis Mead,3B,TB,MIA@TB,-,-,-,-,-,0.15,0.21,0.5
Isaac Collins,OF,MIL,SD@MIL,-,-,-,-,-,0.22,0.23,0.44
Brandon Lockridge,LF,SD,SD@MIL,-,-,-,-,-,0.16,0.2,0.5
Jose Iglesias,2B,SD,SD@MIL,-,-,-,-,-,0.17,0.17,0.54
Max Schuemann,1B,ATH,BAL@ATH,-,-,-,-,-,0.15,0.22,0.46
Seth Brown,1B,ATH,BAL@ATH,-,-,-,-,-,0.24,0.18,0.42
Taylor Walls,SS,TB,MIA@TB,-,-,-,-,-,0.2,0.26,0.4
Jake Cronenworth,1B,SD,SD@MIL,-,-,-,-,-,0.15,0.16,0.49
Elias Diaz,C,SD,SD@MIL,-,-,-,-,-,0.13,0.14,0.52
Pablo Reyes,2B,NYY,BOS@NYY,-,-,-,-,-,0.17,0.15,0.32
Willie MacIver,C,ATH,BAL@ATH,-,-,-,-,-,0.16,0.15,0.31
Kevin Newman,SS,LAA,SEA@LAA,-,-,-,-,-,0.13,0.15,0.35
Ryan Ritter,SS,COL,NYM@COL,-,-,-,-,-,0.12,0.14,0.25
Gavin Williams,SP,CLE,HOU@CLE,4.9,5.3,4.4,1.9,2.2,-,-,-
Hunter Brown,SP,HOU,HOU@CLE,6,6.4,4.6,2.1,1.9,-,-,-
Taj Bradley,SP,TB,MIA@TB,5.5,5.5,5.1,2.1,1.6,-,-,-
Ryan Weathers,SP,MIA,MIA@TB,5.4,5,4.2,1.9,1.7,-,-,-
Nick Martinez,SP,CIN,ARI@CIN,5.7,4.3,6,3.2,1.7,-,-,-
Ryne Nelson,SP,ARI,ARI@CIN,5.7,4.4,5,2.6,1.5,-,-,-
Jose Quintana,SP,MIL,SD@MIL,5.4,3.9,5.2,1.7,1.5,-,-,-
Stephen Kolek,SP,SD,SD@MIL,5.6,4.6,4.5,2.3,1.6,-,-,-
Ryan Yarbrough,SP,NYY,BOS@NYY,3.8,3.7,4.4,2.1,1.4,-,-,-
Garrett Crochet,SP,BOS,BOS@NYY,5.6,7,5.4,2.4,1.7,-,-,-
Clay Holmes,SP,NYM,NYM@COL,5.7,5.5,4.9,2.6,1.7,-,-,-
German Marquez,SP,COL,NYM@COL,5,3.2,5.3,3,1.9,-,-,-
Luis Castillo,SP,SEA,SEA@LAA,6,5.3,4.8,2.2,1.4,-,-,-
Jack Kochanowicz,SP,LAA,SEA@LAA,5.6,3.8,5.2,2.6,2.3,-,-,-
Charlie Morton,SP,BAL,BAL@ATH,5.5,5.5,5,2.2,1.7,-,-,-
Luis Severino,SP,ATH,BAL@ATH,5.9,4.3,5.7,2.4,1.7,-,-,-
